Order id;Date;Status;Season;Brand name;Brand sales person;Collection;Category;Product name;Product reference;Color name;Description;Composition;Fabric / print;Size family name;Size name;EAN13;SKU;Quantity;Unit price;Net amount;Pre-discount amount;Discount rate;Currency
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Frank Striped Polo;AW26-844;FRANK STRIPED POLO U45;AW26-844 Frank Striped Polo Grey/Summer Red 34;100% Merino Wool;;Woman;40;8434525648942;AW26-844U450000401;1;51,5;51,00;51,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Frank Striped Polo;AW26-844;FRANK STRIPED POLO U45;AW26-844 Frank Striped Polo Grey/Summer Red 34;100% Merino Wool;;Woman;42;8434525648959;AW26-844U450000421;1;51,5;51,00;51,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Outerwear;Roses Grid Sherpa Jacket;AW26-650;ROSES GRID SHERPA JACKET 103;AW26-650 Roses Grid Sherpa Jacket Light Cream 34;100% Polyester;;Woman;36;8434525638226;AW26-6501030000361;1;73,7;73,00;73,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Outerwear;Roses Grid Sherpa Jacket;AW26-650;ROSES GRID SHERPA JACKET 103;AW26-650 Roses Grid Sherpa Jacket Light Cream 34;100% Polyester;;Woman;38;8434525638233;AW26-6501030000381;1;73,7;73,00;73,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Outerwear;Roses Grid Sherpa Jacket;AW26-650;ROSES GRID SHERPA JACKET 103;AW26-650 Roses Grid Sherpa Jacket Light Cream 34;100% Polyester;;Woman;40;8434525638240;AW26-6501030000401;1;73,7;73,00;73,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Outerwear;Roses Grid Sherpa Jacket;AW26-650;ROSES GRID SHERPA JACKET 103;AW26-650 Roses Grid Sherpa Jacket Light Cream 34;100% Polyester;;Woman;42;8434525638257;AW26-6501030000421;1;73,7;73,00;73,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Check Cardigan;AW26-699;CHECK CARDIGAN M01;AW26-699 Check Cardigan Vanilla 34;100% Merino Wool;;Woman;36;8434525640809;AW26-699M010000361;1;73,7;73,00;73,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Check Cardigan;AW26-699;CHECK CARDIGAN M01;AW26-699 Check Cardigan Vanilla 34;100% Merino Wool;;Woman;38;8434525640816;AW26-699M010000381;1;73,7;73,00;73,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Check Cardigan;AW26-699;CHECK CARDIGAN M01;AW26-699 Check Cardigan Vanilla 34;100% Merino Wool;;Woman;40;8434525640823;AW26-699M010000401;1;73,7;73,00;73,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Check Cardigan;AW26-699;CHECK CARDIGAN M01;AW26-699 Check Cardigan Vanilla 34;100% Merino Wool;;Woman;42;8434525640830;AW26-699M010000421;1;73,7;73,00;73,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Scarves & Kerchiefs;Check Scarf;AW26-700;CHECK SCARF M01;AW26-700 Check Scarf Vanilla O/S;100% Merino Wool;;One Size;O/S;8434525640847;AW26-700M01000O/S1;3;44,1;132,00;132,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Shirts & Blouses;Check Bow Neck Shirt;AW26-726;CHECK BOW NECK SHIRT 107;AW26-726 Check Bow Neck Shirt Navy 34;100% Cotton;;Woman;36;8434525642049;AW26-7261070000361;1;47,8;47,00;47,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Shirts & Blouses;Check Bow Neck Shirt;AW26-726;CHECK BOW NECK SHIRT 107;AW26-726 Check Bow Neck Shirt Navy 34;100% Cotton;;Woman;38;8434525642056;AW26-7261070000381;1;47,8;47,00;47,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Shirts & Blouses;Check Bow Neck Shirt;AW26-726;CHECK BOW NECK SHIRT 107;AW26-726 Check Bow Neck Shirt Navy 34;100% Cotton;;Woman;40;8434525642063;AW26-7261070000401;1;47,8;47,00;47,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Shirts & Blouses;Check Bow Neck Shirt;AW26-726;CHECK BOW NECK SHIRT 107;AW26-726 Check Bow Neck Shirt Navy 34;100% Cotton;;Woman;42;8434525642070;AW26-7261070000421;1;47,8;47,00;47,00;0;EUR
